settlement-id,settlement-start-date,settlement-end-date,deposit-date,total-amount,currency,transaction-type,order-id,merchant-order-id,adjustment-id,shipment-id,marketplace-name,amount-type,amount-description,amount,fulfillment-id,posted-date,posted-date-time,order-item-code,merchant-order-item-id,merchant-adjustment-item-id,sku,quantity-purchased,promotion-id
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-1234567-8901234,206-1234567-8901234,,,DFqhGnDSRd2z8,Principal,Principal,50.00,,2024-11-25,2024-11-25T14:23:45+00:00,12345678901234,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-1234567-8901234,206-1234567-8901234,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-7.50,,2024-11-25,2024-11-25T14:23:45+00:00,12345678901234,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-1234567-8901234,206-1234567-8901234,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-3.06,,2024-11-25,2024-11-25T14:23:45+00:00,12345678901234,,,SKU-WIDGET-001,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-2345678-9012345,206-2345678-9012345,,,DFqhGnDSRd2z8,Principal,Principal,35.99,,2024-11-26,2024-11-26T09:15:22+00:00,23456789012345,,,SKU-GADGET-002,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-2345678-9012345,206-2345678-9012345,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-5.40,,2024-11-26,2024-11-26T09:15:22+00:00,23456789012345,,,SKU-GADGET-002,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-2345678-9012345,206-2345678-9012345,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-2.84,,2024-11-26,2024-11-26T09:15:22+00:00,23456789012345,,,SKU-GADGET-002,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-3456789-0123456,206-3456789-0123456,,,DFqhGnDSRd2z8,Principal,Principal,89.99,,2024-11-26,2024-11-26T16:42:11+00:00,34567890123456,,,SKU-PREMIUM-003,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-3456789-0123456,206-3456789-0123456,,,DFqhGnDSRd2z8,Commission,Marketplace Facilitator Tax,-13.50,,2024-11-26,2024-11-26T16:42:11+00:00,34567890123456,,,SKU-PREMIUM-003,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-3456789-0123456,206-3456789-0123456,,,DFqhGnDSRd2z8,FBAPerUnitFulfillmentFee,FBA Per Unit Fulfillment Fee,-4.52,,2024-11-26,2024-11-26T16:42:11+00:00,34567890123456,,,SKU-PREMIUM-003,1,
12345678,2024-11-25T00:00:00+00:00,2024-11-27T23:59:59+00:00,2024-11-30,243.75,GBP,Order,206-4567890-1234567,206-4567890-1234567,,,DFqhGnDSRd2z8,Principal,Principal,24.99,,2024-11-27,2024-11-27T11:28:33+00:00,45678901234567,,,SKU-BASIC-004,2,
